"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-16 06:28:20,0.400,0.400
2023-07-16 06:28:30,0.600,0.600
2023-07-16 06:28:40,0.600,0.600
2023-07-16 06:28:50,0.200,0.200
2023-07-16 06:29:00,0.400,0.400
2023-07-16 06:29:10,0.300,0.300
2023-07-16 06:29:20,0.800,0.800
2023-07-16 06:29:30,0.400,0.400
2023-07-16 06:29:40,0.600,0.600
2023-07-16 06:29:50,0.500,0.500
2023-07-16 06:30:00,0.600,0.600
2023-07-16 06:30:10,0.400,0.400
2023-07-16 06:30:20,0.300,0.300
2023-07-16 06:30:30,0.400,0.400
2023-07-16 06:30:40,0.800,0.800
2023-07-16 06:30:50,0.600,0.600
2023-07-16 06:31:00,0.500,0.500
2023-07-16 06:31:10,0.400,0.400
2023-07-16 06:31:20,0.300,0.300
2023-07-16 06:31:30,0.600,0.600
2023-07-16 06:31:40,0.200,0.200
2023-07-16 06:31:50,0.300,0.300
2023-07-16 06:32:00,0.700,0.700
2023-07-16 06:32:10,0.800,0.800
2023-07-16 06:32:20,0.400,0.400
2023-07-16 06:32:30,0.300,0.300
2023-07-16 06:32:40,0.600,0.600
2023-07-16 06:32:50,0.800,0.800
2023-07-16 06:33:00,0.500,0.700
2023-07-16 06:33:10,0.300,0.300
2023-07-16 06:33:20,0.300,0.300
2023-07-16 06:33:30,0.500,0.500
2023-07-16 06:33:40,0.500,0.500
2023-07-16 06:33:50,0.400,0.400
2023-07-16 06:34:00,0.500,0.500
2023-07-16 06:34:10,0.700,0.700
2023-07-16 06:34:20,0.500,0.500
2023-07-16 06:34:30,0.500,0.500
2023-07-16 06:34:40,0.500,0.500
2023-07-16 06:34:50,0.300,0.300
2023-07-16 06:35:00,0.400,0.400
2023-07-16 06:35:10,0.300,0.300
2023-07-16 06:35:20,0.500,0.500
2023-07-16 06:35:30,0.900,0.900
2023-07-16 06:35:40,1,1
2023-07-16 06:35:50,0.700,0.700
2023-07-16 06:36:00,0.400,0.400
2023-07-16 06:36:10,0.400,0.400
2023-07-16 06:36:20,0.600,0.600
2023-07-16 06:36:30,0.600,0.600
2023-07-16 06:36:40,0.300,0.300
2023-07-16 06:36:50,0.600,0.600
2023-07-16 06:37:00,0.500,0.500
2023-07-16 06:37:10,0.300,0.300
2023-07-16 06:37:20,0.400,0.400
2023-07-16 06:37:30,0.700,0.800
2023-07-16 06:37:40,0.200,0.200
2023-07-16 06:37:50,0.200,0.200
2023-07-16 06:38:00,0.400,0.400
2023-07-16 06:38:10,0.500,0.500
2023-07-16 06:38:20,0.600,0.600
2023-07-16 06:38:30,0.500,0.500
2023-07-16 06:38:40,0.800,0.800
2023-07-16 06:38:50,0.500,0.500
2023-07-16 06:39:00,0.600,0.600
2023-07-16 06:39:10,0.400,0.400
2023-07-16 06:39:20,0.200,0.200
2023-07-16 06:39:30,0.600,0.600
2023-07-16 06:39:40,0.300,0.300
2023-07-16 06:39:50,0.400,0.400
2023-07-16 06:40:00,0.400,0.400
2023-07-16 06:40:10,0.300,0.300
2023-07-16 06:40:20,0.300,0.300
2023-07-16 06:40:30,0.500,0.500
2023-07-16 06:40:40,0.300,0.300
2023-07-16 06:40:50,0.800,0.800
2023-07-16 06:41:00,0.200,0.200
2023-07-16 06:41:10,0.600,0.600
2023-07-16 06:41:20,0.400,0.400
2023-07-16 06:41:30,0.600,0.600
2023-07-16 06:41:40,0.400,0.400
2023-07-16 06:41:50,0.400,0.400
2023-07-16 06:42:00,0.400,0.400
2023-07-16 06:42:10,0.600,0.600
2023-07-16 06:42:20,0.500,0.500
2023-07-16 06:42:30,0.200,0.200
2023-07-16 06:42:40,0.200,0.200
2023-07-16 06:42:50,0.400,0.400
2023-07-16 06:43:00,0.300,0.300
2023-07-16 06:43:10,0.700,0.700
2023-07-16 06:43:20,0.400,0.400
2023-07-16 06:43:30,0.100,0.200
2023-07-16 06:43:40,0.400,0.400
2023-07-16 06:43:50,0.800,0.800
2023-07-16 06:44:00,0.400,0.400
2023-07-16 06:44:10,0.600,0.600
2023-07-16 06:44:20,0.600,0.600
2023-07-16 06:44:30,0.300,0.300
2023-07-16 06:44:40,0.500,0.500
2023-07-16 06:44:50,0.700,0.700
2023-07-16 06:45:00,0.400,0.400
2023-07-16 06:45:10,0.300,0.300
2023-07-16 06:45:20,0.200,0.200
2023-07-16 06:45:30,0.400,0.400
2023-07-16 06:45:40,0.700,0.700
2023-07-16 06:45:50,0.400,0.400
2023-07-16 06:46:00,0.600,0.600
2023-07-16 06:46:10,0.500,0.500
2023-07-16 06:46:20,0.300,0.300
2023-07-16 06:46:30,0.400,0.400
2023-07-16 06:46:40,0.600,0.600
2023-07-16 06:46:50,0.400,0.400
2023-07-16 06:47:00,0.200,0.200
2023-07-16 06:47:10,0.200,0.200
2023-07-16 06:47:20,0.500,0.500
2023-07-16 06:47:30,0.400,0.400
2023-07-16 06:47:40,0.600,0.600
2023-07-16 06:47:50,0.200,0.200
2023-07-16 06:48:00,0.100,0.100
2023-07-16 06:48:10,0.600,0.600
2023-07-16 06:48:20,0.400,0.400
2023-07-16 06:48:30,0.400,0.400
2023-07-16 06:48:40,0.700,0.700
2023-07-16 06:48:50,0.600,0.600
2023-07-16 06:49:00,0.400,0.400
2023-07-16 06:49:10,0.200,0.200
2023-07-16 06:49:20,0.400,0.400
2023-07-16 06:49:30,0.600,0.600
2023-07-16 06:49:40,0.400,0.500
2023-07-16 06:49:50,0.400,0.400
2023-07-16 06:50:00,0.400,0.400
2023-07-16 06:50:10,0.300,0.300
2023-07-16 06:50:20,0.700,0.700
2023-07-16 06:50:30,0.900,0.900
2023-07-16 06:50:40,0.500,0.500
2023-07-16 06:50:50,0.200,0.200
2023-07-16 06:51:00,0.500,0.500
2023-07-16 06:51:10,0.500,0.500
2023-07-16 06:51:20,0.200,0.200
2023-07-16 06:51:30,0.400,0.400
2023-07-16 06:51:40,0.500,0.500
2023-07-16 06:51:50,0.500,0.500
2023-07-16 06:52:00,0.900,0.900
2023-07-16 06:52:10,0.100,0.100
2023-07-16 06:52:20,0.300,0.300
2023-07-16 06:52:30,0.500,0.500
2023-07-16 06:52:40,0.700,0.700
2023-07-16 06:52:50,0.200,0.200
2023-07-16 06:53:00,0.300,0.300
2023-07-16 06:53:10,0.200,0.200
2023-07-16 06:53:20,0.300,0.300
2023-07-16 06:53:30,0.400,0.400
2023-07-16 06:53:40,0.800,0.800
2023-07-16 06:53:50,0.300,0.300
2023-07-16 06:54:00,0.600,0.600
2023-07-16 06:54:10,0.400,0.400
2023-07-16 06:54:20,0.600,0.600
2023-07-16 06:54:30,0.600,0.600
2023-07-16 06:54:40,0.100,0.100
2023-07-16 06:54:50,0.500,0.500
2023-07-16 06:55:00,0.700,0.700
2023-07-16 06:55:10,0.400,0.400
2023-07-16 06:55:20,0.700,0.700
2023-07-16 06:55:30,0.400,0.400
2023-07-16 06:55:40,0.300,0.300
2023-07-16 06:55:50,0.200,0.200
2023-07-16 06:56:00,0.400,0.400
2023-07-16 06:56:10,0.500,0.500
2023-07-16 06:56:20,0.500,0.500
2023-07-16 06:56:30,0.300,0.300
2023-07-16 06:56:40,0.200,0.200
2023-07-16 06:56:50,0.400,0.400
2023-07-16 06:57:00,0.500,0.500
2023-07-16 06:57:10,0.700,0.700
2023-07-16 06:57:20,0.300,0.300
2023-07-16 06:57:30,0.400,0.400
2023-07-16 06:57:40,0.200,0.200
2023-07-16 06:57:50,0.300,0.300
2023-07-16 06:58:00,0.400,0.400
2023-07-16 06:58:10,0.300,0.300
2023-07-16 06:58:20,0.700,0.700
2023-07-16 06:58:30,0.200,0.200
2023-07-16 06:58:40,0.400,0.400
2023-07-16 06:58:50,0.200,0.200
2023-07-16 06:59:00,0.600,0.600
2023-07-16 06:59:10,0.500,0.500
2023-07-16 06:59:20,0.600,0.600
2023-07-16 06:59:30,0.900,0.900
2023-07-16 06:59:40,0.200,0.200
2023-07-16 06:59:50,0.600,0.600
2023-07-16 07:00:00,0.400,0.400
2023-07-16 07:00:10,0.500,0.500
2023-07-16 07:00:20,0.500,0.500
2023-07-16 07:00:30,0.400,0.400
2023-07-16 07:00:40,0.100,0.100
2023-07-16 07:00:50,0.300,0.300
2023-07-16 07:01:00,0.400,0.400
2023-07-16 07:01:10,0.300,0.300
2023-07-16 07:01:20,0.600,0.600
2023-07-16 07:01:30,0.500,0.500
2023-07-16 07:01:40,0.300,0.300
2023-07-16 07:01:50,0.600,0.600
2023-07-16 07:02:00,0.800,0.800
2023-07-16 07:02:10,0.400,0.400
2023-07-16 07:02:20,0.300,0.300
2023-07-16 07:02:30,0.200,0.200
2023-07-16 07:02:40,0.300,0.300
2023-07-16 07:02:50,0.300,0.300
2023-07-16 07:03:00,0.800,0.800
2023-07-16 07:03:10,0.600,0.700
2023-07-16 07:03:20,0.600,0.600
2023-07-16 07:03:30,0.500,0.500
2023-07-16 07:03:40,0.400,0.400
2023-07-16 07:03:50,0.300,0.300
2023-07-16 07:04:00,0.300,0.300
2023-07-16 07:04:10,0.400,0.400
2023-07-16 07:04:20,0.500,0.500
2023-07-16 07:04:30,0.900,0.900
2023-07-16 07:04:40,0.800,0.800
2023-07-16 07:04:50,0.200,0.200
2023-07-16 07:05:00,0.700,0.700
2023-07-16 07:05:10,0.400,0.400
2023-07-16 07:05:20,0.800,0.800
2023-07-16 07:05:30,0.600,0.600
2023-07-16 07:05:40,0.600,0.600
2023-07-16 07:05:50,0.500,0.500
2023-07-16 07:06:00,0.600,0.600
2023-07-16 07:06:10,0.800,0.800
2023-07-16 07:06:20,0.600,0.600
2023-07-16 07:06:30,0.200,0.200
2023-07-16 07:06:40,0.500,0.500
2023-07-16 07:06:50,0.400,0.400
2023-07-16 07:07:00,0.400,0.400
2023-07-16 07:07:10,0.500,0.500
2023-07-16 07:07:20,0.500,0.500
2023-07-16 07:07:30,0.600,0.600
2023-07-16 07:07:40,0.700,0.700
2023-07-16 07:07:50,0.700,0.700
2023-07-16 07:08:00,0.400,0.400
2023-07-16 07:08:10,0.300,0.300
2023-07-16 07:08:20,0.500,0.500
2023-07-16 07:08:30,0.500,0.500
2023-07-16 07:08:40,0.400,0.400
2023-07-16 07:08:50,0.300,0.300
2023-07-16 07:09:00,0.300,0.300
2023-07-16 07:09:10,0.600,0.600
2023-07-16 07:09:20,0.300,0.300
2023-07-16 07:09:30,0.300,0.300
2023-07-16 07:09:40,0.600,0.600
2023-07-16 07:09:50,0.100,0.100
2023-07-16 07:10:00,0.300,0.300
2023-07-16 07:10:10,0.400,0.400
2023-07-16 07:10:20,0.300,0.300
2023-07-16 07:10:30,0.700,0.700
2023-07-16 07:10:40,0.400,0.400
2023-07-16 07:10:50,0.400,0.400
2023-07-16 07:11:00,0.500,0.500
2023-07-16 07:11:10,0.300,0.300
2023-07-16 07:11:20,0.300,0.300
2023-07-16 07:11:30,0.400,0.400
2023-07-16 07:11:40,0.700,0.700
2023-07-16 07:11:50,0.800,0.800
2023-07-16 07:12:00,0.200,0.200
2023-07-16 07:12:10,0.400,0.400
2023-07-16 07:12:20,0.300,0.300
2023-07-16 07:12:40,0.500,0.500
2023-07-16 07:12:50,0.600,0.600
2023-07-16 07:13:00,0.200,0.200
2023-07-16 07:13:10,0.500,0.500
2023-07-16 07:13:20,0.500,0.500
2023-07-16 07:13:30,0.500,0.500
2023-07-16 07:13:40,0.500,0.500
2023-07-16 07:13:50,0.500,0.500
2023-07-16 07:14:00,0.300,0.300
2023-07-16 07:14:10,0.600,0.600
2023-07-16 07:14:20,0.700,0.700
2023-07-16 07:14:30,0.400,0.400
2023-07-16 07:14:40,0.500,0.500
2023-07-16 07:14:50,0.200,0.200
2023-07-16 07:15:00,0.300,0.300
2023-07-16 07:15:10,0.600,0.600
2023-07-16 07:15:20,0.800,0.800
2023-07-16 07:15:30,0.400,0.400
2023-07-16 07:15:40,0.700,0.700
2023-07-16 07:16:00,0.300,0.300
2023-07-16 07:16:10,0.400,0.400
2023-07-16 07:16:20,0.400,0.400
2023-07-16 07:16:30,0.400,0.400
2023-07-16 07:16:40,0.600,0.600
2023-07-16 07:16:50,0.500,0.500
2023-07-16 07:17:00,0.500,0.500
2023-07-16 07:17:10,0.500,0.500
2023-07-16 07:17:20,0.500,0.500
2023-07-16 07:17:30,0.100,0.100
2023-07-16 07:17:40,0.300,0.300
2023-07-16 07:17:50,0.400,0.400
2023-07-16 07:18:00,0.300,0.300
2023-07-16 07:18:10,0.700,0.700
2023-07-16 07:18:20,0.300,0.300
2023-07-16 07:18:30,0.600,0.600
2023-07-16 07:18:40,0.500,0.500
2023-07-16 07:18:50,0.400,0.400
2023-07-16 07:19:00,0.400,0.400
2023-07-16 07:19:10,0.400,0.400
2023-07-16 07:19:20,0.600,0.600
2023-07-16 07:19:30,0.400,0.400
2023-07-16 07:19:40,0.200,0.200
2023-07-16 07:19:50,0.300,0.300
2023-07-16 07:20:00,0.300,0.300
2023-07-16 07:20:10,0.500,0.500
2023-07-16 07:20:20,0.300,0.300
2023-07-16 07:20:30,0.500,0.500
2023-07-16 07:20:40,0.600,0.600
2023-07-16 07:20:50,0.600,0.600
2023-07-16 07:21:00,1,1
2023-07-16 07:21:10,0.200,0.200
2023-07-16 07:21:20,0.600,0.600
2023-07-16 07:21:30,0.200,0.200
2023-07-16 07:21:40,0.500,0.500
2023-07-16 07:21:50,0.300,0.300
2023-07-16 07:22:00,0.500,0.500
2023-07-16 07:22:10,0.200,0.200
2023-07-16 07:22:20,0.200,0.200
2023-07-16 07:22:30,0.300,0.400
2023-07-16 07:22:40,0.500,0.500
2023-07-16 07:22:50,0.300,0.300
2023-07-16 07:23:00,0.200,0.200
2023-07-16 07:23:10,0.500,0.500
2023-07-16 07:23:20,0.600,0.600
2023-07-16 07:23:30,0.300,0.300
2023-07-16 07:23:40,0.100,0.100
2023-07-16 07:23:50,0.300,0.300
2023-07-16 07:24:00,0.800,0.800
2023-07-16 07:24:10,0.400,0.400
2023-07-16 07:24:20,0.600,0.600
2023-07-16 07:24:30,0.800,0.800
2023-07-16 07:24:40,0.700,0.700
2023-07-16 07:24:50,0.700,0.700
2023-07-16 07:25:00,0.500,0.500
2023-07-16 07:25:10,0.700,0.700
2023-07-16 07:25:20,0.500,0.500
2023-07-16 07:25:30,0.300,0.300
2023-07-16 07:25:40,0.100,0.100
2023-07-16 07:25:50,0.300,0.300
2023-07-16 07:26:00,0.400,0.400
2023-07-16 07:26:10,0.200,0.200
2023-07-16 07:26:20,0.200,0.200
2023-07-16 07:26:30,0.300,0.300
2023-07-16 07:26:40,0.600,0.600
2023-07-16 07:26:50,0.600,0.600
2023-07-16 07:27:00,0.800,0.800
2023-07-16 07:27:10,0.200,0.200
2023-07-16 07:27:20,0.600,0.600
2023-07-16 07:27:30,0.500,0.500
2023-07-16 07:27:40,0.600,0.600
2023-07-16 07:27:50,0.200,0.200
2023-07-16 07:28:00,0.500,0.500
2023-07-16 07:28:10,0.400,0.400
2023-07-16 07:28:20,0.400,0.400
2023-07-16 07:28:30,0.600,0.600
2023-07-16 07:28:40,0.200,0.200
2023-07-16 07:28:50,0.300,0.300
2023-07-16 07:29:00,0.800,0.800
2023-07-16 07:29:10,0.400,0.400
2023-07-16 07:29:20,0.500,0.500
2023-07-16 07:29:30,0.500,0.500
2023-07-16 07:29:40,0.300,0.300
2023-07-16 07:29:50,0.500,0.500
2023-07-16 07:30:00,0.700,0.700
2023-07-16 07:30:10,0.600,0.600
2023-07-16 07:30:20,0.900,1
2023-07-16 07:30:30,0.400,0.400
2023-07-16 07:30:40,0.700,0.700
2023-07-16 07:30:50,0.700,0.700
2023-07-16 07:31:00,0.500,0.500
2023-07-16 07:31:10,0.800,0.800
2023-07-16 07:31:20,0.700,0.700
2023-07-16 07:31:30,0.300,0.300
2023-07-16 07:31:40,0.600,0.600
2023-07-16 07:31:50,0.400,0.400
2023-07-16 07:32:00,0.600,0.600
2023-07-16 07:32:10,0.300,0.300
2023-07-16 07:32:20,0.300,0.300
2023-07-16 07:32:30,0.100,0.100
2023-07-16 07:32:40,0.900,0.900
2023-07-16 07:32:50,0.600,0.600
2023-07-16 07:33:00,0.600,0.600
2023-07-16 07:33:10,0.200,0.200
2023-07-16 07:33:20,0.600,0.600
2023-07-16 07:33:30,0.600,0.600
2023-07-16 07:33:40,0.200,0.200
2023-07-16 07:33:50,0.400,0.400
2023-07-16 07:34:00,1.10,1.10
2023-07-16 07:34:10,0.700,0.700
2023-07-16 07:34:20,0.600,0.600
2023-07-16 07:34:30,0.600,0.600
2023-07-16 07:34:40,0.100,0.100
2023-07-16 07:34:50,0.400,0.400
2023-07-16 07:35:00,0.400,0.400
2023-07-16 07:35:10,0.200,0.200
2023-07-16 07:35:20,0.200,0.200
2023-07-16 07:35:40,0.400,0.400
2023-07-16 07:35:50,0.200,0.200
2023-07-16 07:36:00,0.200,0.200
2023-07-16 07:36:10,0.300,0.300
2023-07-16 07:36:20,0.700,0.700
2023-07-16 07:36:30,0.300,0.300
2023-07-16 07:36:40,0.300,0.300
2023-07-16 07:36:50,0.400,0.400
2023-07-16 07:37:00,0.300,0.300
2023-07-16 07:37:10,0.100,0.100
2023-07-16 07:37:20,0.400,0.400
2023-07-16 07:37:30,0.600,0.600
2023-07-16 07:37:40,0.600,0.600
2023-07-16 07:37:50,0.300,0.300
2023-07-16 07:38:00,0.300,0.300
2023-07-16 07:38:10,0.600,0.700
2023-07-16 07:38:20,0.500,0.500
2023-07-16 07:38:30,0.500,0.500
2023-07-16 07:38:40,0.200,0.200
2023-07-16 07:38:50,0.400,0.400
2023-07-16 07:39:00,0.500,0.500
2023-07-16 07:39:10,0.600,0.600
2023-07-16 07:39:20,0.600,0.600
2023-07-16 07:39:30,0.400,0.400
2023-07-16 07:39:40,0.200,0.200
2023-07-16 07:39:50,0.300,0.300
2023-07-16 07:40:00,0.400,0.400
2023-07-16 07:40:10,0.400,0.400
2023-07-16 07:40:20,0.200,0.200
2023-07-16 07:40:30,0.400,0.400
2023-07-16 07:40:40,0.500,0.500
2023-07-16 07:40:50,0.400,0.400
2023-07-16 07:41:00,0.500,0.500
2023-07-16 07:41:10,0.100,0.100
2023-07-16 07:41:20,0.500,0.500
2023-07-16 07:41:30,0.500,0.500
2023-07-16 07:41:40,0.300,0.300
2023-07-16 07:41:50,0.800,0.800
2023-07-16 07:42:00,0.400,0.400
2023-07-16 07:42:10,0.100,0.100
2023-07-16 07:42:20,0.200,0.200
2023-07-16 07:42:30,0.500,0.500
2023-07-16 07:42:40,0.700,0.700
2023-07-16 07:42:50,0.500,0.500
2023-07-16 07:43:00,0.100,0.100
2023-07-16 07:43:10,0.300,0.500
2023-07-16 07:43:20,0.100,0.100
2023-07-16 07:43:30,0.300,0.300
2023-07-16 07:43:40,0.400,0.400
2023-07-16 07:43:50,0.700,0.700
2023-07-16 07:44:00,0.400,0.400
2023-07-16 07:44:10,0.400,0.400
2023-07-16 07:44:20,0.400,0.400
2023-07-16 07:44:30,0.800,0.800
2023-07-16 07:44:40,1.10,1.10
2023-07-16 07:44:50,0.400,0.400
2023-07-16 07:45:00,0.200,0.200
2023-07-16 07:45:10,0.800,1
2023-07-16 07:45:20,0.500,0.500
2023-07-16 07:45:30,0.500,0.500
2023-07-16 07:45:40,0.700,0.700
2023-07-16 07:45:50,0.400,0.400
2023-07-16 07:46:00,0.200,0.200
2023-07-16 07:46:10,0.100,0.100
2023-07-16 07:46:30,0.400,0.400
2023-07-16 07:46:40,0.500,0.500
2023-07-16 07:46:50,0.400,0.400
2023-07-16 07:47:00,0.400,0.500
2023-07-16 07:47:20,1,1
2023-07-16 07:47:30,0.300,0.300
2023-07-16 07:47:40,0.300,0.300
2023-07-16 07:47:50,0.200,0.200
2023-07-16 07:48:00,0.500,0.500
2023-07-16 07:48:10,0.300,0.300
2023-07-16 07:48:20,0.600,0.700
2023-07-16 07:48:30,0.400,0.400
2023-07-16 07:48:40,0.100,0.100
2023-07-16 07:48:50,0.200,0.200
2023-07-16 07:49:00,0.500,0.500
2023-07-16 07:49:10,0.500,0.500
2023-07-16 07:49:20,0.400,0.400
2023-07-16 07:49:30,0.500,0.500
2023-07-16 07:49:40,0.800,0.800
2023-07-16 07:49:50,0.200,0.200
2023-07-16 07:50:00,0.400,0.400
2023-07-16 07:50:10,0.300,0.300
2023-07-16 07:50:20,0.700,0.700
2023-07-16 07:50:30,0.200,0.200
2023-07-16 07:50:40,0.600,0.600
2023-07-16 07:50:50,0.500,0.500
2023-07-16 07:51:00,0.900,1
2023-07-16 07:51:10,0.600,0.600
2023-07-16 07:51:20,0.500,0.500
2023-07-16 07:51:30,0.600,0.600
2023-07-16 07:51:40,0.100,0.100
2023-07-16 07:51:50,0.200,0.200
2023-07-16 07:52:00,0.700,0.700
2023-07-16 07:52:10,0.800,0.800
2023-07-16 07:52:20,0.300,0.300
2023-07-16 07:52:30,0.300,0.300
2023-07-16 07:52:40,0.300,0.300
2023-07-16 07:52:50,0.600,0.600
2023-07-16 07:53:00,0.300,0.300
2023-07-16 07:53:10,0.600,0.600
2023-07-16 07:53:20,0.600,0.600
2023-07-16 07:53:30,0.200,0.200
2023-07-16 07:53:40,0.600,0.600
2023-07-16 07:53:50,0.400,0.400
2023-07-16 07:54:00,0.300,0.300
2023-07-16 07:54:10,0.200,0.200
2023-07-16 07:54:20,0.200,0.200
2023-07-16 07:54:30,0.200,0.200
2023-07-16 07:54:40,0.600,0.600
2023-07-16 07:54:50,0.500,0.500
2023-07-16 07:55:00,0.500,0.500
2023-07-16 07:55:10,0.200,0.200
2023-07-16 07:55:20,0.300,0.300
2023-07-16 07:55:30,0.100,0.100
2023-07-16 07:55:40,0.200,0.200
2023-07-16 07:55:50,0.100,0.100
2023-07-16 07:56:00,0.300,0.300
2023-07-16 07:56:10,0.200,0.200
2023-07-16 07:56:20,0.400,0.400
2023-07-16 07:56:30,0.500,0.500
2023-07-16 07:56:40,0.300,0.300
2023-07-16 07:56:50,0.400,0.500
2023-07-16 07:57:00,0.100,0.100
2023-07-16 07:57:10,0.500,0.500
